segment_type,segment,total_jobs,jobs_with_salary,salary_min_usd,salary_max_usd,salary_mean_usd,salary_median_usd
country,Kenya,1368,0,,,,
country,Uganda,16,0,,,,
country,Unknown,24,0,,,,
country,Nigeria,940,0,,,,
country,South Africa,156,0,,,,
country,Ghana,544,0,,,,
country,Global Remote,105,0,,,,
country,Egypt,144,0,,,,
country,Rwanda,39,0,,,,
country,Morocco,1,0,,,,
country,Senegal,3,0,,,,
seniority,Mid-Level,1405,0,,,,
seniority,Entry Level,77,0,,,,
seniority,Lead,737,0,,,,
seniority,Senior,371,0,,,,
seniority,Executive,237,0,,,,
seniority,Intern,513,0,,,,
