skill,region,count
java,Uganda,1
java,Nigeria,2
java,South Africa,7
java,Ghana,1
java,Egypt,8
java,Global Remote,3
java,Kenya,10
swift,Nigeria,1
swift,South Africa,1
swift,Kenya,2
python,Nigeria,7
python,Kenya,30
python,South Africa,3
python,Egypt,3
python,Global Remote,12
python,Unknown,4
node.js,Nigeria,3
node.js,South Africa,2
node.js,Global Remote,3
node.js,Kenya,2
power bi,Nigeria,1
power bi,Kenya,21
pytorch,Nigeria,2
pytorch,Global Remote,1
pytorch,Kenya,1
pytorch,Unknown,1
tensorflow,Nigeria,2
tensorflow,Unknown,1
linux,Nigeria,4
linux,South Africa,2
linux,Egypt,1
linux,Kenya,15
angular,Nigeria,2
angular,South Africa,1
react,Nigeria,4
react,Ghana,4
react,South Africa,2
react,Egypt,1
react,Global Remote,10
react,Kenya,8
react,Unknown,1
mongodb,Nigeria,1
mongodb,Global Remote,3
mongodb,Kenya,1
mysql,Nigeria,1
mysql,Kenya,2
postgresql,Nigeria,1
postgresql,Global Remote,4
postgresql,Kenya,9
windows server,Nigeria,1
windows server,Kenya,1
sql,Nigeria,2
sql,South Africa,1
sql,Global Remote,7
sql,Kenya,28
javascript,Nigeria,1
javascript,Global Remote,5
javascript,South Africa,1
javascript,Kenya,6
next.js,Nigeria,2
next.js,Egypt,1
next.js,Global Remote,3
next.js,South Africa,1
next.js,Kenya,4
vue,Nigeria,1
vue,Global Remote,1
vue,South Africa,1
css,Nigeria,1
css,Global Remote,6
css,Kenya,2
html,Nigeria,1
html,Global Remote,1
html,Kenya,2
scikit-learn,Nigeria,1
scikit-learn,Global Remote,1
scikit-learn,Kenya,1
react native,Nigeria,1
react native,Ghana,2
react native,Egypt,1
react native,South Africa,1
php,Nigeria,2
php,South Africa,2
php,Kenya,2
.net,Nigeria,1
.net,Ghana,2
.net,Kenya,1
.net,South Africa,2
.net,Egypt,7
.net,Rwanda,1
fiber,Nigeria,2
fiber,Kenya,3
chef,Nigeria,2
chef,Ghana,1
chef,Kenya,12
qc,Nigeria,4
qc,Ghana,1
qc,Kenya,5
qc,Unknown,2
scrum,Nigeria,1
scrum,Global Remote,1
scrum,Kenya,7
aws,Kenya,19
aws,South Africa,4
aws,Ghana,1
aws,Global Remote,13
aws,Nigeria,1
laravel,Nigeria,1
laravel,South Africa,1
nodejs,Nigeria,1
ubuntu,Nigeria,1
ubuntu,Ghana,1
ubuntu,Kenya,5
elixir,Nigeria,1
elixir,Global Remote,1
golang,Nigeria,2
golang,South Africa,2
golang,Kenya,1
vuejs,Nigeria,1
elasticsearch,Nigeria,1
elasticsearch,Global Remote,1
elasticsearch,Kenya,2
fastapi,Nigeria,1
fastapi,Global Remote,3
fastapi,Kenya,1
ruby,Nigeria,1
ruby,Global Remote,3
ruby,South Africa,1
rails,Nigeria,1
rails,Global Remote,10
rails,South Africa,1
rails,Kenya,2
ruby on rails,Nigeria,1
ruby on rails,Global Remote,3
django,Nigeria,1
django,Global Remote,1
oracle,Nigeria,1
oracle,South Africa,1
oracle,Ghana,1
oracle,Egypt,3
oracle,Senegal,2
oracle,Kenya,6
rust,South Africa,2
rust,Kenya,1
azure,South Africa,1
azure,Global Remote,6
azure,Kenya,15
azure,Nigeria,1
spring,Ghana,1
spring,Global Remote,1
spring,South Africa,1
spring,Kenya,10
microservices,Egypt,1
microservices,Global Remote,4
microservices,Kenya,8
supabase,Egypt,1
supabase,Kenya,1
flutter,Egypt,1
flutter,Global Remote,1
flutter,South Africa,1
ci/cd,Global Remote,9
ci/cd,Kenya,10
github,Global Remote,5
github,Kenya,5
databricks,Global Remote,4
databricks,Kenya,3
cypress,Global Remote,1
cypress,Kenya,1
playwright,Global Remote,1
playwright,Kenya,1
excel,Global Remote,6
excel,South Africa,1
excel,Senegal,3
excel,Kenya,196
excel,Unknown,2
less,Global Remote,5
less,Kenya,27
express,Global Remote,3
express,Kenya,9
express,Unknown,1
spark,Global Remote,3
spark,Kenya,6
go,Global Remote,15
go,South Africa,2
go,Kenya,37
lean,Global Remote,1
lean,Kenya,24
r,Global Remote,4
r,Kenya,43
google sheets,South Africa,1
google sheets,Kenya,31
google sheets,Unknown,1
clickhouse,Global Remote,1
redis,Global Remote,1
redis,Kenya,1
llm,Global Remote,12
llm,South Africa,1
llm,Kenya,8
llm,Unknown,3
openai,Global Remote,5
api,Global Remote,7
api,South Africa,1
api,Kenya,12
rest,Global Remote,7
rest,Kenya,12
solid,Global Remote,8
solid,Kenya,55
typescript,Global Remote,9
typescript,South Africa,1
typescript,Kenya,5
kotlin,Global Remote,2
kotlin,Kenya,1
rag,Global Remote,3
rag,Kenya,4
datadog,Global Remote,5
docker,Global Remote,6
docker,Kenya,8
kubernetes,Global Remote,8
kubernetes,South Africa,1
kubernetes,Kenya,5
kafka,Global Remote,2
spring boot,Global Remote,1
spring boot,Kenya,7
dynamodb,Global Remote,1
dynamodb,Kenya,2
graphql,Global Remote,3
graphql,Kenya,1
github actions,Global Remote,2
github actions,Kenya,1
helm,Global Remote,1
shadcn,Global Remote,1
tailwind,Global Remote,2
pair programming,Global Remote,1
pair programming,Kenya,1
vercel,Global Remote,2
vercel,Kenya,1
gcp,Global Remote,6
gcp,Kenya,7
heroku,Global Remote,1
rspec,Global Remote,1
object-oriented,Global Remote,1
autogen,Global Remote,1
crewai,Global Remote,1
langchain,Global Remote,2
langchain,Kenya,1
langgraph,Global Remote,1
postgres,Global Remote,1
postgres,Kenya,1
git,Global Remote,2
git,Kenya,8
git,Nigeria,1
snowflake,Global Remote,2
snowflake,Kenya,1
agile,Global Remote,3
agile,Kenya,26
jenkins,Global Remote,2
jenkins,Kenya,1
babel,Global Remote,1
bootstrap,Global Remote,1
css3,Global Remote,1
css3,Kenya,1
html5,Global Remote,1
html5,Kenya,2
scss,Global Remote,1
webpack,Global Remote,1
junit,Global Remote,1
design patterns,Global Remote,1
tdd,Global Remote,1
apache,Global Remote,2
apache,Kenya,1
huggingface,Global Remote,2
huggingface,Kenya,2
dart,South Africa,1
scala,South Africa,1
nuxt,South Africa,1
svelte,South Africa,1
ansible,South Africa,1
owasp,Global Remote,2
penetration testing,Global Remote,2
penetration testing,Kenya,1
grafana,Global Remote,1
prometheus,Global Remote,1
pulumi,Global Remote,1
pulumi,Kenya,1
terraform,Global Remote,1
terraform,Kenya,2
terraform,Nigeria,1
macos,Global Remote,1
macos,Kenya,4
airflow,Global Remote,1
airflow,Kenya,2
bigquery,Global Remote,1
bigquery,Kenya,2
dbt,Global Remote,1
dbt,Kenya,1
redshift,Global Remote,1
pandas,Global Remote,1
pandas,Kenya,2
apache spark,Global Remote,1
gitlab,Global Remote,1
gitlab,Kenya,1
assembly,Senegal,2
assembly,Kenya,20
mlflow,Kenya,2
transformers,Kenya,7
cloudflare,Kenya,1
websocket,Kenya,1
websockets,Kenya,1
numpy,Kenya,1
numpy,Unknown,2
apache airflow,Kenya,1
matplotlib,Kenya,2
plotly,Kenya,3
bash,Kenya,3
gitlab ci,Kenya,1
asp.net,Kenya,1
jira,Kenya,10
kanban,Kenya,4
code review,Kenya,4
tableau,Kenya,10
prefect,Kenya,1
nomad,Kenya,1
powerbi,Kenya,2
openstack,Kenya,1
debian,Kenya,3
flask,Kenya,2
midjourney,Kenya,1
seaborn,Kenya,1
firewall,Kenya,2
Looker,Kenya,4
looker,Kenya,4
looker studio,Kenya,2
google cloud,Nigeria,1
google cloud,Kenya,4
firebase,Kenya,1
nagios,Kenya,2
metabase,Kenya,3
microsoft azure,Kenya,3
postman,Kenya,1
selenium,Kenya,1
shell,Kenya,1
prisma,Kenya,1
ssl,Kenya,1
nginx,Kenya,1
vault,Kenya,1
