segment_type,segment,total_jobs,jobs_with_salary,salary_min_usd,salary_max_usd,salary_mean_usd,salary_median_usd
country,Global Remote,105,0,,,,
country,South Africa,155,0,,,,
country,Nigeria,939,0,,,,
country,Morocco,1,0,,,,
country,Kenya,199,0,,,,
country,Ghana,544,0,,,,
country,Egypt,144,0,,,,
country,Rwanda,39,0,,,,
country,Uganda,16,0,,,,
country,Unknown,1,0,,,,
seniority,Entry Level,38,0,,,,
seniority,Mid-Level,1235,0,,,,
seniority,Intern,122,0,,,,
seniority,Lead,375,0,,,,
seniority,Executive,119,0,,,,
seniority,Senior,254,0,,,,
