skill,region,count
java,South Africa,59
java,Egypt,50
java,Morocco,17
java,Tunisia,5
java,Nigeria,15
java,Rwanda,1
java,Ghana,5
java,Namibia,1
java,Algeria,1
java,Senegal,1
java,Mauritius,1
java,Global Remote,16
java,Kenya,6
java,Uganda,1
aws,South Africa,15
aws,Ghana,3
aws,Nigeria,5
aws,Egypt,2
aws,Global Remote,42
aws,Kenya,4
python,Egypt,15
python,Morocco,4
python,Tunisia,1
python,Mauritius,1
python,South Africa,21
python,Nigeria,17
python,Ghana,5
python,Algeria,2
python,Tanzania,1
python,Malawi,1
python,Kenya,9
python,Global Remote,39
oracle,Egypt,18
oracle,South Africa,4
oracle,Uganda,1
oracle,Morocco,1
oracle,Mauritius,1
oracle,Kenya,4
oracle,Tunisia,1
oracle,Nigeria,4
oracle,Global Remote,2
oracle,Ghana,4
javascript,Egypt,1
javascript,Tunisia,1
javascript,South Africa,12
javascript,Cameroon,1
javascript,Nigeria,5
javascript,Kenya,6
javascript,Global Remote,12
javascript,Ghana,1
.net,South Africa,25
.net,Algeria,2
.net,Egypt,24
.net,Morocco,4
.net,Rwanda,3
.net,Tunisia,3
.net,Ghana,4
.net,Kenya,5
.net,Tanzania,1
.net,Nigeria,12
.net,Mauritius,1
.net,Global Remote,7
react,South Africa,17
react,Egypt,18
react,Morocco,1
react,Ethiopia,2
react,Tunisia,3
react,Algeria,3
react,Nigeria,17
react,Uganda,1
react,Ghana,5
react,Kenya,6
react,Global Remote,26
react native,South Africa,9
react native,Ethiopia,2
react native,Tunisia,1
react native,Egypt,6
react native,Nigeria,6
react native,Uganda,1
react native,Algeria,1
react native,Ghana,2
react native,Global Remote,2
qc,Egypt,7
qc,Nigeria,5
qc,Ghana,1
laravel,Egypt,9
laravel,Morocco,2
laravel,Ethiopia,2
laravel,South Africa,7
laravel,Nigeria,3
laravel,Uganda,1
laravel,Global Remote,2
laravel,Kenya,2
linux,Morocco,3
linux,Algeria,1
linux,Egypt,5
linux,Tunisia,1
linux,South Africa,11
linux,Ghana,10
linux,Nigeria,10
linux,Kenya,8
linux,Global Remote,7
flutter,Egypt,11
flutter,Ghana,2
flutter,Nigeria,4
flutter,Tunisia,1
flutter,Ethiopia,1
flutter,Morocco,1
flutter,Kenya,4
flutter,South Africa,5
flutter,Global Remote,5
angular,Egypt,12
angular,Tunisia,3
angular,Ghana,1
angular,Morocco,7
angular,South Africa,9
angular,Kenya,3
angular,Nigeria,6
angular,Global Remote,4
azure,South Africa,12
azure,Uganda,1
azure,Rwanda,1
azure,Global Remote,26
azure,Egypt,3
azure,Kenya,6
typescript,Tanzania,1
typescript,Botswana,1
typescript,Namibia,1
typescript,Kenya,4
typescript,Uganda,1
typescript,South Africa,8
typescript,Egypt,1
typescript,Global Remote,22
typescript,Nigeria,2
nodejs,Tanzania,1
nodejs,Botswana,1
nodejs,Namibia,1
nodejs,Kenya,2
nodejs,Uganda,2
nodejs,South Africa,1
nodejs,Ghana,2
nodejs,Senegal,1
nodejs,Egypt,1
nodejs,Global Remote,1
nodejs,Nigeria,2
scrum,South Africa,14
scrum,Egypt,10
scrum,Nigeria,9
scrum,Morocco,1
scrum,Tunisia,3
scrum,Global Remote,4
scrum,Kenya,1
r,South Africa,9
r,Egypt,2
r,Morocco,1
r,Ethiopia,1
r,Nigeria,3
r,Global Remote,6
r,Kenya,1
r,Ghana,1
sql,South Africa,23
sql,Tunisia,2
sql,Nigeria,3
sql,Global Remote,32
sql,Kenya,11
sql,Ghana,1
django,Morocco,1
django,Nigeria,3
django,Global Remote,2
django,Kenya,2
power bi,Ghana,1
power bi,South Africa,7
power bi,Egypt,2
power bi,Global Remote,3
power bi,Nigeria,1
go,South Africa,4
go,Egypt,3
go,Ghana,2
go,Nigeria,1
go,Global Remote,38
go,Kenya,3
assembly,South Africa,1
assembly,Nigeria,2
postgresql,South Africa,1
postgresql,Egypt,5
postgresql,Ghana,1
postgresql,Global Remote,10
postgresql,Kenya,4
postgresql,Nigeria,1
php,Ethiopia,1
php,Egypt,12
php,South Africa,13
php,Nigeria,13
php,Ghana,3
php,Cameroon,2
php,Morocco,2
php,Namibia,1
php,Global Remote,2
php,Kenya,4
dotnet,Nigeria,1
dotnet,Egypt,2
dotnet,South Africa,3
dotnet,Tunisia,1
kotlin,South Africa,1
kotlin,Egypt,1
kotlin,Global Remote,4
golang,Egypt,2
golang,Nigeria,3
golang,South Africa,6
golang,Global Remote,6
ruby,Tanzania,1
ruby,Egypt,7
ruby,South Africa,6
ruby,Global Remote,7
ruby,Kenya,1
ruby,Nigeria,1
rails,Tanzania,1
rails,Egypt,5
rails,South Africa,4
rails,Global Remote,31
rails,Ghana,1
rails,Nigeria,1
ruby on rails,Tanzania,1
ruby on rails,Egypt,5
ruby on rails,South Africa,2
ruby on rails,Global Remote,5
ruby on rails,Nigeria,1
agile,South Africa,3
agile,Egypt,2
agile,Nigeria,4
agile,Global Remote,13
agile,Kenya,4
scala,Morocco,1
scala,South Africa,4
scala,Global Remote,2
spark,Morocco,1
spark,South Africa,1
spark,Global Remote,6
fiber,Tanzania,1
fiber,Nigeria,7
fiber,Kenya,1
api,South Africa,4
api,Egypt,4
api,Nigeria,2
api,Global Remote,28
api,Kenya,5
kubernetes,Morocco,1
kubernetes,Nigeria,4
kubernetes,Ghana,1
kubernetes,Egypt,1
kubernetes,Global Remote,25
kubernetes,South Africa,1
ubuntu,Ghana,8
ubuntu,Kenya,1
ubuntu,South Africa,1
google cloud,Mozambique,1
google cloud,South Africa,1
google cloud,Nigeria,1
google cloud,Global Remote,8
google cloud,Egypt,1
nuxt,Ethiopia,1
nuxt,South Africa,3
nuxt,Global Remote,2
mysql,Tunisia,1
mysql,Nigeria,4
mysql,Ghana,1
mysql,Global Remote,1
mysql,Kenya,4
node.js,Egypt,4
node.js,South Africa,6
node.js,Algeria,1
node.js,Nigeria,9
node.js,Global Remote,13
node.js,Kenya,2
kafka,South Africa,2
kafka,Global Remote,10
kafka,Kenya,1
rust,Algeria,1
rust,South Africa,4
rust,Global Remote,3
chef,Morocco,2
chef,Tunisia,1
chef,Nigeria,6
chef,Ghana,5
chef,Global Remote,2
spring,Egypt,5
spring,Tunisia,1
spring,South Africa,4
spring,Global Remote,6
spring,Ghana,1
vue,Egypt,3
vue,Nigeria,1
vue,South Africa,3
vue,Global Remote,3
vue,Kenya,1
next.js,Egypt,5
next.js,Senegal,1
next.js,South Africa,4
next.js,Nigeria,3
next.js,Global Remote,8
next.js,Kenya,1
mssql,South Africa,1
k8s,Nigeria,1
k8s,Ghana,1
k8s,Global Remote,1
gcp,Mozambique,1
gcp,South Africa,2
gcp,Global Remote,20
gcp,Kenya,1
gcp,Egypt,1
mongodb,Ghana,1
mongodb,Nigeria,3
mongodb,Global Remote,4
mongodb,Kenya,1
microsoft azure,Uganda,1
microsoft azure,Rwanda,1
microsoft azure,Global Remote,2
microsoft azure,South Africa,1
html,South Africa,2
html,Nigeria,3
html,Ghana,1
html,Global Remote,4
html,Kenya,4
openstack,Ghana,1
macos,South Africa,1
macos,Global Remote,2
llm,Ghana,2
llm,Global Remote,19
llm,South Africa,3
llm,Kenya,3
css,Kenya,4
css,Nigeria,2
css,Ghana,1
css,Global Remote,10
tableau,South Africa,1
tableau,Global Remote,2
spring boot,Tunisia,1
spring boot,Egypt,3
spring boot,Global Remote,4
spring boot,South Africa,1
windows server,Nigeria,1
windows server,Kenya,1
windows server,Egypt,1
pytorch,Nigeria,1
pytorch,Global Remote,3
scikit-learn,Nigeria,1
scikit-learn,Global Remote,3
tensorflow,Nigeria,1
tensorflow,Global Remote,3
amazon web services,Nigeria,5
amazon web services,Global Remote,1
solid,Nigeria,2
solid,Global Remote,29
solid,South Africa,1
solid,Kenya,5
css3,Nigeria,1
css3,Global Remote,1
html5,Nigeria,1
html5,Global Remote,1
cassandra,Nigeria,2
cassandra,Global Remote,1
snowflake,Kenya,1
snowflake,Global Remote,11
snowflake,South Africa,1
postgres,Global Remote,9
supabase,Global Remote,1
supabase,Egypt,1
openai,Global Remote,22
openai,South Africa,1
microservices,Kenya,2
microservices,Global Remote,8
microservices,Egypt,1
vuejs,Nigeria,2
elasticsearch,Nigeria,3
elasticsearch,Global Remote,3
elasticsearch,Kenya,1
ci/cd,South Africa,1
ci/cd,Global Remote,30
ci/cd,Kenya,2
terraform,South Africa,1
terraform,Global Remote,10
databricks,South Africa,3
databricks,Global Remote,7
databricks,Kenya,1
lean,Global Remote,5
lean,Kenya,1
excel,Global Remote,11
excel,South Africa,1
excel,Kenya,3
google sheets,South Africa,1
google sheets,Global Remote,1
less,Global Remote,13
less,Kenya,3
rest,Global Remote,22
rest,Kenya,3
git,Global Remote,13
git,Kenya,6
docker,Global Remote,19
docker,Kenya,2
graphql,Global Remote,10
graphql,Kenya,1
github,Global Remote,16
github,Kenya,2
dart,South Africa,3
dart,Global Remote,2
dart,Kenya,1
swift,South Africa,3
swift,Global Remote,3
swift,Kenya,1
swift,Nigeria,2
svelte,South Africa,3
svelte,Global Remote,2
langchain,South Africa,1
langchain,Global Remote,2
pinecone,South Africa,1
rag,South Africa,2
rag,Global Remote,6
weaviate,South Africa,1
prisma,Global Remote,1
redux,Global Remote,1
vite,Global Remote,1
rest api,Global Remote,1
rest api,Kenya,1
object-oriented,Global Remote,3
oop,Global Remote,1
asp.net,Global Remote,1
apache,Ghana,1
apache,Global Remote,5
apache,South Africa,1
heroku,Global Remote,2
restful,Global Remote,3
restful,Kenya,1
oauth,Global Remote,3
oauth,Kenya,1
jupyter,Global Remote,1
airflow,Global Remote,4
airflow,South Africa,1
amazon redshift,Global Remote,1
bigquery,Global Remote,2
redshift,Global Remote,1
github actions,Global Remote,7
jira,Global Remote,5
jira,Kenya,1
apache airflow,Global Remote,2
apache airflow,South Africa,1
dbt,Global Remote,3
dbt,South Africa,1
ansible,South Africa,1
ansible,Global Remote,4
owasp,Global Remote,2
owasp,Kenya,2
penetration testing,Global Remote,2
penetration testing,Kenya,2
express,Global Remote,4
express,Kenya,2
datadog,Global Remote,8
grafana,Global Remote,6
jenkins,Global Remote,11
prometheus,Global Remote,7
pulumi,Global Remote,2
bash,Global Remote,3
elk,Global Remote,3
