job_id,source,source_job_id,job_title,company,job_description,location,country,work_mode,remote_eligible,remote_scope,job_field,industry,employment_type,experience_required,education_required,salary,currency,date_posted,application_deadline,tech_category,vacancy_url,scraped_at
a742f3b485edcc80,MyJobMag,a742f3b485edcc80,AI Engineer at ALX,ALX,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,"Full Time , Remote",,BA/BSc/HND,,,,,Data & AI,https://www.myjobmag.co.ke/job/ai-engineer-alx,2026-08-24T21:37:01.963515+00:00
3a5a73627543122b,MyJobMag,3a5a73627543122b,AI Engineer at FinSense Africa,FinSense Africa,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,Full Time,4 years,"BA/BSc/HND , MBA/MSc/MA",,,,,Data & AI,https://www.myjobmag.co.ke/job/ai-engineer-finsense-africa,2026-08-24T21:37:04.435187+00:00
18b0c85e6875e09f,MyJobMag,18b0c85e6875e09f,AI & Machine Learning Intern - 1 Post at Agile Business Solutions Limited,Agile Business Solutions Limited,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer , Internships",,Full Time,,BA/BSc/HND,,,,,Data & AI,https://www.myjobmag.co.ke/job/ai-machine-learning-intern-1-post-agile-business-solutions-limited,2026-08-24T21:37:14.877165+00:00
f83082829ce44b6f,MyJobMag,f83082829ce44b6f,AI & Machine Learning Lecturer at Africa Digital Media Institute (ADMI),Africa Digital Media Institute (ADMI),,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , Education / Teaching / Training , ICT / Computer",,Full Time,,BA/BSc/HND,,,,,Data & AI,https://www.myjobmag.co.ke/job/ai-machine-learning-lecturer-africa-digital-media-institute-admi,2026-08-24T21:37:17.312521+00:00
c76eb13a621e9c27,MyJobMag,c76eb13a621e9c27,AI Solutions Architect at Code for Africa (CfA),Code for Africa (CfA),,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,Full Time,3 years,BA/BSc/HND,,,,,Software & IT,https://www.myjobmag.co.ke/job/ai-solutions-architect-code-for-africa-cfa,2026-08-24T21:37:33.001172+00:00
d043b475f70f49d4,MyJobMag,d043b475f70f49d4,Android Engineer at Co-operative Bank of Kenya,Co-operative Bank of Kenya,,Nairobi,Kenya,,0,,ICT / Computer,,Full Time,3 years,BA/BSc/HND,,,,,Software & IT,https://www.myjobmag.co.ke/job/android-engineer-co-operative-bank-of-kenya,2026-08-24T21:37:48.352828+00:00
fda9ac49e9ede97d,MyJobMag,fda9ac49e9ede97d,Android Engineer Intern at Branch,Branch,,Nairobi,Kenya,,0,,"ICT / Computer , Internships",,"Full Time , Remote",,BA/BSc/HND,,,,,Software & IT,https://www.myjobmag.co.ke/job/android-engineer-intern-branch,2026-08-24T21:37:50.840999+00:00
8d360bea9db102ca,MyJobMag,8d360bea9db102ca,Applied AI Engineer at International Rescue Committee,International Rescue Committee,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,"Full Time , Remote",5 years,BA/BSc/HND,,,,,Data & AI,https://www.myjobmag.co.ke/job/applied-ai-enginner-international-rescue-committee,2026-08-24T21:38:08.835202+00:00
11587388983b410b,MyJobMag,11587388983b410b,Artificial Intelligence Trainer at St Francis Research and Training College,St Francis Research and Training College,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , Education / Teaching / Training , ICT / Computer",,Full Time,,BA/BSc/HND,,,,,Data & AI,https://www.myjobmag.co.ke/job/artificial-intelligence-trainer-st-francis-research-and-training-college,2026-08-24T21:38:11.307006+00:00
d4f5188213789bb9,MyJobMag,d4f5188213789bb9,Assistant Data Analyst at African Guarantee Fund (AGF),African Guarantee Fund (AGF),,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,Full Time,5 years,"BA/BSc/HND , MBA/MSc/MA , Professional Certificate",,,,,Data & AI,https://www.myjobmag.co.ke/job/assistant-data-analyst-african-guarantee-fund-agf,2026-08-24T21:38:16.412211+00:00
60bf47b56f947165,MyJobMag,60bf47b56f947165,Assistant Software Development Lead at Demulla,Demulla,,Kakamega,Kenya,,0,,ICT / Computer,,Full Time,,"BA/BSc/HND , Diploma",,,,,Software & IT,https://www.myjobmag.co.ke/job/assistant-software-development-lead-demulla,2026-08-24T21:38:38.594212+00:00
35a3eef4607c44db,MyJobMag,35a3eef4607c44db,Associate Scientist – Data Analyst- ICRISAT at World Agroforestry Centre (ICRAF),World Agroforestry Centre (ICRAF),,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,Contract,3 years,PhD/Fellowship,,,27 Jul 2026,,Data & AI,https://www.myjobmag.co.ke/job/associate-scientist-data-analyst-icrisat-world-agroforestry-centre-icraf,2026-08-24T21:38:45.898134+00:00
6f9ec272d3102d78,MyJobMag,6f9ec272d3102d78,Backend Developer at Clovers Management & Training Consultants Ltd,Clovers Management & Training Consultants Ltd,,Nairobi,Kenya,,0,,ICT / Computer,,Full Time,4 years,BA/BSc/HND,,,,,Software & IT,https://www.myjobmag.co.ke/job/backend-developer-clovers-management-amp-training-consultants-ltd,2026-08-24T21:38:53.490284+00:00
38f29eac85417c14,MyJobMag,38f29eac85417c14,"Backend Developer - Go & PostgreSQL (Remote, Kenya) at Two Max Group",Two Max Group,,Nairobi,Kenya,,0,,ICT / Computer,,"Full Time , Remote",5 years,"BA/BSc/HND , Diploma , MBA/MSc/MA , Postgraduate Diploma , Professional Certificate , Vocational","Range KSh 150,000 - KSh 200,000/month",KES,,,Software & IT,https://www.myjobmag.co.ke/job/backend-developer-go-postgresql-remote-kenya-two-max-group,2026-08-24T21:38:55.915447+00:00
7a376e2a36f855fd,MyJobMag,7a376e2a36f855fd,Cloud Engineer at CIC Insurance,CIC Insurance,,Nairobi,Kenya,,0,,"Engineering / Technical , ICT / Computer",,Full Time,4 years,"BA/BSc/HND , Professional Certificate",,,,,Cloud & DevOps,https://www.myjobmag.co.ke/job/cloud-engineer-cic-insurance-2,2026-08-24T21:40:20.004128+00:00
e91722c33090ddb3,MyJobMag,e91722c33090ddb3,Commercial Data Analyst at M-Gas,M-Gas,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,Full Time,5 years,"BA/BSc/HND , Professional Certificate",,,,,Data & AI,https://www.myjobmag.co.ke/job/commercial-data-analyst-m-gas,2026-08-24T21:40:25.576611+00:00
c97e0edf651a1041,MyJobMag,c97e0edf651a1041,CRRD Data Analyst at International Rescue Committee,International Rescue Committee,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,"Full Time , Remote",3 years,BA/BSc/HND,,,,,Data & AI,https://www.myjobmag.co.ke/job/crrd-data-analyst-international-rescue-committee,2026-08-24T21:41:12.110470+00:00
62f31da6a52386f1,MyJobMag,62f31da6a52386f1,Cyber Security Officer at Chuka University,Chuka University,,Chuka,Kenya,,0,,ICT / Computer,,Contract,2 years,"BA/BSc/HND , Professional Certificate",,,,,Cybersecurity,https://www.myjobmag.co.ke/job/cyber-security-officer-chuka-university,2026-08-24T21:41:17.743462+00:00
ab496ff5a5b6fef8,MyJobMag,ab496ff5a5b6fef8,Cybersecurity Consultant at BQI Tech,BQI Tech,,Nairobi,Kenya,,0,,"Consultancy , ICT / Computer",,"Contract , Full Time",,BA/BSc/HND,,,,,Cybersecurity,https://www.myjobmag.co.ke/job/cybersecurity-consultant-bqi-tech,2026-08-24T21:41:20.388858+00:00
73ed35aeb2bce22d,MyJobMag,73ed35aeb2bce22d,"Cybersecurity, Governance and Assurance Officer at International Livestock Research Institute (ILRI)",International Livestock Research Institute (ILRI),,Nairobi,Kenya,,0,,ICT / Computer,,Full Time,7 years,"BA/BSc/HND , Professional Certificate",,,,,Cybersecurity,https://www.myjobmag.co.ke/job/cybersecurity-governance-and-assurance-officer-international-livestock-research-institute-ilri,2026-08-24T21:41:23.067070+00:00
1a4f52437c51aff8,MyJobMag,1a4f52437c51aff8,Cybersecurity Trainer at Mediacrest Training College,Mediacrest Training College,,Nairobi,Kenya,,0,,"Education / Teaching / Training , ICT / Computer",,Full Time,,"BA/BSc/HND , Diploma , Professional Certificate",,,,,Cybersecurity,https://www.myjobmag.co.ke/job/cybersecurity-trainer-mediacrest-training-college-3,2026-08-24T21:41:25.720608+00:00
f6bf71d45b33bf0e,MyJobMag,f6bf71d45b33bf0e,Data Analyst and Coordinator Intern at Harleys Limited,Harleys Limited,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer , Internships",,Full Time,1 year,BA/BSc/HND,,,,,Data & AI,https://www.myjobmag.co.ke/job/data-analyst-and-coordinator-intern-harleys-limited,2026-08-24T21:41:28.417128+00:00
11b4393347823456,MyJobMag,11b4393347823456,Data Analyst at CloudFactory,CloudFactory,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,"Contract , Full Time , Hybrid",4 years,BA/BSc/HND,,,,,Data & AI,https://www.myjobmag.co.ke/job/data-analyst-cloudfactory-2,2026-08-24T21:41:31.286078+00:00
ee931db716157ab9,MyJobMag,ee931db716157ab9,Data Analyst at HFCB Kenya,HFCB Kenya,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,Full Time,6 years,BA/BSc/HND,,,,,Data & AI,https://www.myjobmag.co.ke/job/data-analyst-hf-group,2026-08-24T21:41:34.020673+00:00
f534f17788e60b35,MyJobMag,f534f17788e60b35,Data Analyst-In-House And Contract Broiler Operations at Kenchic Limited,Kenchic Limited,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,Full Time,2 years,Diploma,,,,,Data & AI,https://www.myjobmag.co.ke/job/data-analyst-in-house-and-contract-broiler-operations-kenchic-limited,2026-08-24T21:41:36.674122+00:00
819a63360be64d83,MyJobMag,819a63360be64d83,Data Analyst at Infotrak Research and Consulting,Infotrak Research and Consulting,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,Full Time,5 years,"BA/BSc/HND , MBA/MSc/MA",,,,,Data & AI,https://www.myjobmag.co.ke/job/data-analyst-infotrak-research-and-consulting-1,2026-08-24T21:41:39.339038+00:00
ae23996c6cf48f1e,MyJobMag,ae23996c6cf48f1e,Data Analyst Intern - 1 Post at Agile Business Solutions Limited,Agile Business Solutions Limited,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer , Internships",,Full Time,,BA/BSc/HND,,,,,Data & AI,https://www.myjobmag.co.ke/job/data-analyst-intern-1-post-agile-business-solutions-limited,2026-08-24T21:41:41.907142+00:00
bb9589cd66fbeac6,MyJobMag,bb9589cd66fbeac6,Data Analyst Intern at Makueni County Public Service Board,Makueni County Public Service Board,,Makueni,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer , Internships",,Contract,,BA/BSc/HND,,,,,Data & AI,https://www.myjobmag.co.ke/job/data-analyst-makueni-county-public-service-board,2026-08-24T21:41:44.497381+00:00
769b07deb7d89ce6,MyJobMag,769b07deb7d89ce6,Data Analyst - Sales at Royal Mabati Factory,Royal Mabati Factory,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI",,Full Time,5 years,BA/BSc/HND,,,,,Data & AI,https://www.myjobmag.co.ke/job/data-analyst-sales-royal-mabati-factory,2026-08-24T21:41:47.118249+00:00
57117a862316d39b,MyJobMag,57117a862316d39b,Data Analyst - Sales at Tropical Heat,Tropical Heat,,Kiambu,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,"Full Time , Onsite",3 years,BA/BSc/HND,"Range KSh 50,000 - KSh 100,000/month",KES,,,Data & AI,https://www.myjobmag.co.ke/job/data-analyst-sales-tropical-heat,2026-08-24T21:41:49.883058+00:00
d74d2a72694e5899,MyJobMag,d74d2a72694e5899,Data Analyst at Syngenta,Syngenta,,Kiambu,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,"Contract , Full Time",,"BA/BSc/HND , Diploma",,,,,Data & AI,https://www.myjobmag.co.ke/job/data-analyst-syngenta-1,2026-08-24T21:41:52.503676+00:00
