job_id,source,source_job_id,job_title,company,job_description,location,country,work_mode,remote_scope,job_field,industry,employment_type,experience_required,education_required,salary,currency,date_posted,application_deadline,tech_category,vacancy_url,scraped_at
bbd20f21c744b6fb,brightermonday,office-admin-pgdzvv,OFFICE ADMIN,,OFFICE ADMIN,,Kenya,unknown,,ICT & Computer,,,,,,,,,,https://www.brightermonday.co.ke/listings/office-admin-pgdzvv,2026-08-30T15:41:00+00:00
e7b1c86afa914d37,brightermonday,lead-baker-5p6jmp,LEAD BAKER,,LEAD BAKER,,Kenya,unknown,,ICT & Computer,,,,,,,,,,https://www.brightermonday.co.ke/listings/lead-baker-5p6jmp,2026-08-30T15:41:00+00:00
8c65dfc4609af714,brightermonday,sales-marketing-qz4jm6,Sales & Marketing,,Sales & Marketing,,Kenya,unknown,,ICT & Computer,,,,,,,,,,https://www.brightermonday.co.ke/listings/sales-marketing-qz4jm6,2026-08-30T15:41:00+00:00
bb7288ce3f647741,brightermonday,social-media-it-professional-454zxm,SOCIAL MEDIA & IT PROFESSIONAL,,SOCIAL MEDIA & IT PROFESSIONAL,,Kenya,unknown,,ICT & Computer,,,,,,,,,,https://www.brightermonday.co.ke/listings/social-media-it-professional-454zxm,2026-08-30T15:41:00+00:00
68e3dad4c001becb,brightermonday,customer-care-representative-6qxerz,Customer Care Representative,,Customer Care Representative,,Kenya,unknown,,ICT & Computer,,,,,,,,,,https://www.brightermonday.co.ke/listings/customer-care-representative-6qxerz,2026-08-30T15:41:00+00:00
6d4b7dbeadb32a74,brightermonday,marketing-operations-virtual-assistant-z8vnrx,Marketing & Operations Virtual Assistant,,Marketing & Operations Virtual Assistant,,Kenya,unknown,,ICT & Computer,,,,,,,,,,https://www.brightermonday.co.ke/listings/marketing-operations-virtual-assistant-z8vnrx,2026-08-30T15:41:00+00:00
9d649c4c37f440b8,brightermonday,bookkeeper-j6485r,Bookkeeper,,Bookkeeper,,Kenya,unknown,,ICT & Computer,,,,,,,,,,https://www.brightermonday.co.ke/listings/bookkeeper-j6485r,2026-08-30T15:41:00+00:00
2769e8a54d59f76c,brightermonday,financial-accounting-k7rjwm,FINANCIAL ACCOUNTING,,FINANCIAL ACCOUNTING,,Kenya,unknown,,ICT & Computer,,,,,,,,,,https://www.brightermonday.co.ke/listings/financial-accounting-k7rjwm,2026-08-30T15:41:00+00:00
f531ca400ab51161,brightermonday,technical-sales-x8jrkv,Technical Sales,,Technical Sales,,Kenya,unknown,,ICT & Computer,,,,,,,,,Other Tech,https://www.brightermonday.co.ke/listings/technical-sales-x8jrkv,2026-08-30T15:41:00+00:00
fb30177b311e8c70,brightermonday,restaurant-manager-454k69,RESTAURANT MANAGER,,RESTAURANT MANAGER,,Kenya,unknown,,ICT & Computer,,,,,,,,,,https://www.brightermonday.co.ke/listings/restaurant-manager-454k69,2026-08-30T15:41:00+00:00
