tablescraper-selected-row,tablescraper-selected-row href
A,
Account Assistant,https://www.myjobmag.co.ke/job-descriptions/account-assistant
Account Assistant,https://www.myjobmag.co.ke/job-descriptions/account-assistant-1
Account Executive,https://www.myjobmag.co.ke/job-descriptions/account-executive
Account Manager,https://www.myjobmag.co.ke/job-descriptions/account-manager
Accountant,https://www.myjobmag.co.ke/job-descriptions/accountant
Accounting Officer,https://www.myjobmag.co.ke/job-descriptions/accounting-officer
Administrative Assistant,https://www.myjobmag.co.ke/job-descriptions/administrative-assistant
Administrative Manager,https://www.myjobmag.co.ke/job-descriptions/administrative-manager
Administrative Officer,https://www.myjobmag.co.ke/job-descriptions/administrative-officer
Architect,https://www.myjobmag.co.ke/job-descriptions/architect
Area Sales Manager,https://www.myjobmag.co.ke/job-descriptions/area-sales-manager
B,
Branch Manager,https://www.myjobmag.co.ke/job-descriptions/branch-manager
Brand Manager,https://www.myjobmag.co.ke/job-descriptions/brand-manager
Bursar,https://www.myjobmag.co.ke/job-descriptions/bursar
Business Analyst,https://www.myjobmag.co.ke/job-descriptions/business-analyst
Business Developer,https://www.myjobmag.co.ke/job-descriptions/business-developer
Business Development Associate,https://www.myjobmag.co.ke/job-descriptions/business-development-associate
Business Development Executive,https://www.myjobmag.co.ke/job-descriptions/business-development-executive
Business Development Manager,https://www.myjobmag.co.ke/job-descriptions/business-development-manager
Business Manager,https://www.myjobmag.co.ke/job-descriptions/business-manager
C,
Cashier,https://www.myjobmag.co.ke/job-descriptions/cashier
Chartered Accountant,https://www.myjobmag.co.ke/job-descriptions/chartered-accountant
Chef,https://www.myjobmag.co.ke/job-descriptions/chef
Chemical Engineer,https://www.myjobmag.co.ke/job-descriptions/chemical-engineer-job-description
Chief Accountant,https://www.myjobmag.co.ke/job-descriptions/chief-accountant
Chief Executive Officer,https://www.myjobmag.co.ke/job-descriptions/chief-executive-officer
Chief Financial Officer,https://www.myjobmag.co.ke/job-descriptions/chief-financial-officer
Chief Operating Officer,https://www.myjobmag.co.ke/job-descriptions/chief-operating-officer
Chief Security Officer,https://www.myjobmag.co.ke/job-descriptions/chief-security-officer
Cleaner,https://www.myjobmag.co.ke/job-descriptions/cleaner
Communications Officer,https://www.myjobmag.co.ke/job-descriptions/communications-officer
Company Driver,https://www.myjobmag.co.ke/job-descriptions/company-driver
Compliance Officer,https://www.myjobmag.co.ke/job-descriptions/compliance-officer
Content Writer,https://www.myjobmag.co.ke/job-descriptions/content-writer
Cook,https://www.myjobmag.co.ke/job-descriptions/cook
Country Manager,https://www.myjobmag.co.ke/job-descriptions/country-manager
Customer Service Executive,https://www.myjobmag.co.ke/job-descriptions/customer-service-executive
Customer Service Representative,https://www.myjobmag.co.ke/job-descriptions/customer-service-representative
D,
Data Administrator,https://www.myjobmag.co.ke/job-descriptions/data-administrator
Data Analyst,https://www.myjobmag.co.ke/job-descriptions/data-analyst
Data Engineer,https://www.myjobmag.co.ke/job-descriptions/data-engineer
Data Scientist,https://www.myjobmag.co.ke/job-descriptions/data-scientist
DevOps Engineer,https://www.myjobmag.co.ke/job-descriptions/devops-engineer
Digital Marketer,https://www.myjobmag.co.ke/job-descriptions/digital-marketer
Digital Marketing Manager,https://www.myjobmag.co.ke/job-descriptions/digital-marketing-manager
Digital Marketing Officer,https://www.myjobmag.co.ke/job-descriptions/digital-marketing-officer
Digital Marketing Specialist,https://www.myjobmag.co.ke/job-descriptions/digital-marketing-specialist
Direct Sales Agent,https://www.myjobmag.co.ke/job-descriptions/direct-sales-agent
Dispatch Rider,https://www.myjobmag.co.ke/job-descriptions/dispatch-rider
Driver,https://www.myjobmag.co.ke/job-descriptions/driver-job-description
E,
Economist,https://www.myjobmag.co.ke/job-descriptions/economist-job-description
Electrical Engineer,https://www.myjobmag.co.ke/job-descriptions/electrical-engineer
Electrical Technician,https://www.myjobmag.co.ke/job-descriptions/electrical-technician
Electrician,https://www.myjobmag.co.ke/job-descriptions/electrician
Engineering Manager,https://www.myjobmag.co.ke/job-descriptions/engineering-manager-job-description
English Teacher,https://www.myjobmag.co.ke/job-descriptions/english-teacher
Executive Assistant,https://www.myjobmag.co.ke/job-descriptions/executive-assistant
F,
Farm Manager,https://www.myjobmag.co.ke/job-descriptions/farm-manager
Field Engineer,https://www.myjobmag.co.ke/job-descriptions/field-engineer-job-description
Finance Associate,https://www.myjobmag.co.ke/job-descriptions/finance-associate
Finance Intern,https://www.myjobmag.co.ke/job-descriptions/finance-intern
Finance Officer,https://www.myjobmag.co.ke/job-descriptions/finance-officer
Financial Accountant,https://www.myjobmag.co.ke/job-descriptions/financial-accountant
Financial Analyst,https://www.myjobmag.co.ke/job-descriptions/financial-analyst
Financial Controller,https://www.myjobmag.co.ke/job-descriptions/financial-controller
Front Desk Officer,https://www.myjobmag.co.ke/job-descriptions/front-desk-officer
Frontend Developer,https://www.myjobmag.co.ke/job-descriptions/frontend-developer
Full Stack Developer,https://www.myjobmag.co.ke/job-descriptions/full-stack-developer
G,
General Manager,https://www.myjobmag.co.ke/job-descriptions/general-manager
Graduate Trainee,https://www.myjobmag.co.ke/job-descriptions/graduate-trainee
Graphic Designer,https://www.myjobmag.co.ke/job-descriptions/graphic-designer
H,
Head of Finance,https://www.myjobmag.co.ke/job-descriptions/head-of-finance
