job_id,source,source_job_id,job_title,company,job_description,location,country,work_mode,remote_eligible,remote_scope,job_field,industry,employment_type,experience_required,education_required,salary,currency,date_posted,application_deadline,tech_category,vacancy_url,scraped_at,_is_tech_candidate
c461b769bf6a366c,MyJobMag,c461b769bf6a366c,Administrative Assistant (Data Analyst) at Embu University College,Embu University College,,Embu,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,Full Time,3 years,"BA/BSc/HND , KCSE",,,,,Data & AI,https://www.myjobmag.co.ke/job/administrative-assistant-data-analyst-embu-university-college,2026-08-25T19:54:42.900609+00:00,1
131b0d772b939b7c,MyJobMag,131b0d772b939b7c,Agile Product Owner - International Organisation Health at Cigna,Cigna,,Nairobi,Kenya,,0,,ICT / Computer,,Full Time,,BA/BSc/HND,,,,,Product & UX,https://www.myjobmag.co.ke/job/agile-product-owner-international-organisation-health-cigna-1,2026-08-25T19:55:14.104202+00:00,1
fa3ae19654d6009d,MyJobMag,fa3ae19654d6009d,AI and Data Scientist – Food Systems at World Resources Institute (WRI),World Resources Institute (WRI),,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,Full Time,6 years,"BA/BSc/HND , MBA/MSc/MA",,,,,Data & AI,https://www.myjobmag.co.ke/job/ai-and-data-scientist-food-systems-world-resources-institute-wri,2026-08-25T19:55:21.786369+00:00,1
f7bdbd0bcf3bf5da,MyJobMag,f7bdbd0bcf3bf5da,"AI Engineer, AI Transformation at IDinsight",IDinsight,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,Full Time,4 years,BA/BSc/HND,,,,,Data & AI,https://www.myjobmag.co.ke/job/ai-engineer-ai-transformation-idinsight,2026-08-25T19:55:59.047532+00:00,1
f8915b86c908ddbf,MyJobMag,f8915b86c908ddbf,AI Engineer at Code for Africa (CfA),Code for Africa (CfA),,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,Full Time,4 years,BA/BSc/HND,,,,,Data & AI,https://www.myjobmag.co.ke/job/ai-engineer-code-for-africa-cfa,2026-08-25T19:56:01.939252+00:00,1
3a5a73627543122b,MyJobMag,3a5a73627543122b,AI Engineer at FinSense Africa,FinSense Africa,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,Full Time,4 years,"BA/BSc/HND , MBA/MSc/MA",,,,,Data & AI,https://www.myjobmag.co.ke/job/ai-engineer-finsense-africa,2026-08-25T19:56:04.778435+00:00,1
6f54248092e316bd,MyJobMag,6f54248092e316bd,AI Engineer at Flutterwave,Flutterwave,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,Remote,7 years,BA/BSc/HND,,,,,Data & AI,https://www.myjobmag.co.ke/job/ai-engineer-flutterwave-2,2026-08-25T19:56:07.659770+00:00,1
e58b5cf1d669cffb,MyJobMag,e58b5cf1d669cffb,AI Engineer -Fullstack at Jubilee Insurance,Jubilee Insurance,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,Full Time,3 years,BA/BSc/HND,,,,,Data & AI,https://www.myjobmag.co.ke/job/ai-engineer-fullstack-jubilee-insurance,2026-08-25T19:56:10.521991+00:00,1
0139a80c710149a3,MyJobMag,0139a80c710149a3,AI Engineer II (Solutions Engineer) at Jubilee Insurance,Jubilee Insurance,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,Full Time,7 years,"BA/BSc/HND , MBA/MSc/MA , PhD/Fellowship",,,,,Data & AI,https://www.myjobmag.co.ke/job/ai-engineer-ii-solutions-engineer-jubilee-insurance,2026-08-25T19:56:13.382804+00:00,1
4c9a71b4d3801931,MyJobMag,4c9a71b4d3801931,AI Engineer II (Systems Design) at Jubilee Insurance,Jubilee Insurance,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,Full Time,7 years,"BA/BSc/HND , MBA/MSc/MA , PhD/Fellowship",,,,,Data & AI,https://www.myjobmag.co.ke/job/ai-engineer-ii-systems-design-jubilee-insurance,2026-08-25T19:56:16.180056+00:00,1
f8725de0288fff4d,MyJobMag,f8725de0288fff4d,AI Engineer - Platform at Jubilee Insurance,Jubilee Insurance,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,Full Time,3 years,BA/BSc/HND,,,,,Data & AI,https://www.myjobmag.co.ke/job/ai-engineer-platform-jubilee-insurance,2026-08-25T19:56:19.352353+00:00,1
2c24e68605b9751f,MyJobMag,2c24e68605b9751f,AI Full Stack Application Developer at INUA AI,INUA AI,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,Full Time,,BA/BSc/HND,,,,,Software & IT,https://www.myjobmag.co.ke/job/ai-full-stack-application-developer-inua-ai,2026-08-25T19:56:40.348414+00:00,1
18b0c85e6875e09f,MyJobMag,18b0c85e6875e09f,AI & Machine Learning Intern - 1 Post at Agile Business Solutions Limited,Agile Business Solutions Limited,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer , Internships",,Full Time,,BA/BSc/HND,,,,,Data & AI,https://www.myjobmag.co.ke/job/ai-machine-learning-intern-1-post-agile-business-solutions-limited,2026-08-25T19:56:57.344933+00:00,1
c76eb13a621e9c27,MyJobMag,c76eb13a621e9c27,AI Solutions Architect at Code for Africa (CfA),Code for Africa (CfA),,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,Full Time,3 years,BA/BSc/HND,,,,,Software & IT,https://www.myjobmag.co.ke/job/ai-solutions-architect-code-for-africa-cfa,2026-08-25T19:57:25.482674+00:00,1
680fbfc9c3a20698,MyJobMag,680fbfc9c3a20698,Analytics Engineer at Turaco,Turaco,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,Full Time,4 years,BA/BSc/HND,,,,,Data & AI,https://www.myjobmag.co.ke/job/analytics-engineer-turaco,2026-08-25T19:58:39.106469+00:00,1
2cb3425f1351f214,MyJobMag,2cb3425f1351f214,Analytics Engineer at Watu Credit Limited,Watu Credit Limited,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,Full Time,3 years,BA/BSc/HND,,,,,Data & AI,https://www.myjobmag.co.ke/job/analytics-engineer-watu-credit-limited-1,2026-08-25T19:58:42.000754+00:00,1
e1e8b44d5eac6bcf,MyJobMag,e1e8b44d5eac6bcf,Analytics Engineer at Watu Credit Limited,Watu Credit Limited,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,Full Time,3 years,BA/BSc/HND,,,,,Data & AI,https://www.myjobmag.co.ke/job/analytics-engineer-watu-credit-limited-2,2026-08-25T19:58:45.056132+00:00,1
264be7948ae253d7,MyJobMag,264be7948ae253d7,Analytics Engineer at Watu Credit Limited,Watu Credit Limited,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,Full Time,3 years,BA/BSc/HND,,,,,Data & AI,https://www.myjobmag.co.ke/job/analytics-engineer-watu-credit-limited-3,2026-08-25T19:58:47.946778+00:00,1
3afd84771cbe1880,MyJobMag,3afd84771cbe1880,Application Engineer at Baker Hughes,Baker Hughes,,Nairobi,Kenya,,0,,"Engineering / Technical , ICT / Computer",,Full Time,,BA/BSc/HND,,,,,Software & IT,https://www.myjobmag.co.ke/job/application-engineer-baker-hughes,2026-08-25T19:59:07.077036+00:00,1
8d360bea9db102ca,MyJobMag,8d360bea9db102ca,Applied AI Engineer at International Rescue Committee,International Rescue Committee,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,"Full Time , Remote",5 years,BA/BSc/HND,,,,,Data & AI,https://www.myjobmag.co.ke/job/applied-ai-enginner-international-rescue-committee,2026-08-25T19:59:47.607679+00:00,1
8b30b7f965d38fdf,MyJobMag,8b30b7f965d38fdf,Artificial Intelligence (AI) Engineer at United Nations Office for Project Services (UNOPS),United Nations Office for Project Services (UNOPS),,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,Full Time,7 years,"BA/BSc/HND , MBA/MSc/MA",,,,,Data & AI,https://www.myjobmag.co.ke/job/artificial-intelligence-ai-engineer-united-nations-office-for-project-services-unops,2026-08-25T19:59:56.142039+00:00,1
41884234f82332e5,MyJobMag,41884234f82332e5,Artificial Intelligence (AI) Internship at Cytonn Investments,Cytonn Investments,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , Graduate Jobs , ICT / Computer",,Full Time,,"BA/BSc/HND , KCSE",,,,,Data & AI,https://www.myjobmag.co.ke/job/artificial-intelligence-ai-internship-cytonn-investments,2026-08-25T19:59:58.996506+00:00,1
ef37c196a513ad49,MyJobMag,ef37c196a513ad49,Artificial Intelligence Lead at Education Development Center,Education Development Center,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,Part Time,5 years,MBA/MSc/MA,,,,,Data & AI,https://www.myjobmag.co.ke/job/artificial-intelligence-lead-education-development-center,2026-08-25T20:00:01.861742+00:00,1
814a2c285eaf429a,MyJobMag,814a2c285eaf429a,Artificial Intelligence & Machine Learning Trainer at Charles Mordecai Training Institute,Charles Mordecai Training Institute,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , Education / Teaching / Training , ICT / Computer",,Full Time,2 years,"BA/BSc/HND , Diploma",,,,,Data & AI,https://www.myjobmag.co.ke/job/artificial-intelligence-machine-learning-trainer-charles-mordecai-training-institute,2026-08-25T20:00:04.735785+00:00,1
11587388983b410b,MyJobMag,11587388983b410b,Artificial Intelligence Trainer at St Francis Research and Training College,St Francis Research and Training College,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , Education / Teaching / Training , ICT / Computer",,Full Time,,BA/BSc/HND,,,,,Data & AI,https://www.myjobmag.co.ke/job/artificial-intelligence-trainer-st-francis-research-and-training-college,2026-08-25T20:00:07.572589+00:00,1
11e55e491880ae7f,MyJobMag,11e55e491880ae7f,Assistant Data Analyst at Java House,Java House,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,Full Time,,Diploma,,,,,Data & AI,https://www.myjobmag.co.ke/job/assistant-data-analyst-java-house,2026-08-25T20:00:13.332117+00:00,1
68bf6291a510f3a3,MyJobMag,68bf6291a510f3a3,Assistant Professor in Machine Learning and Big Data/ Data Science at United States International University - USIU Africa,United States International University - USIU Africa,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , Education / Teaching / Training , ICT / Computer",,Full Time,3 years,PhD/Fellowship,,,,,Data & AI,https://www.myjobmag.co.ke/job/assistant-professor-in-machine-learning-and-big-data-data-science-united-states-international-university-usiu-africa,2026-08-25T20:01:40.504783+00:00,1
312b392ce1d07b6a,MyJobMag,312b392ce1d07b6a,Assistant Research Officer – Epidemiologist/Data Analyst Nairobi at Kenya Medical Research - KEMRI,Kenya Medical Research - KEMRI,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer , Research and Development",,Contract,1 year,BA/BSc/HND,,,,,Data & AI,https://www.myjobmag.co.ke/job/assistant-research-officer-epidemiologist-data-analyst-nairobi-kemya-medical-research-kemri,2026-08-25T20:01:51.343918+00:00,1
1f60ca8a84349fd0,MyJobMag,1f60ca8a84349fd0,Associate Data Analyst at Lend Plus,Lend Plus,,Nairobi,Kenya,,0,,"Data, Business Analysis and AI , ICT / Computer",,Full Time,1 year,BA/BSc/HND,,,19 January 2026,,Data & AI,https://www.myjobmag.co.ke/job/associate-data-analyst-lend-plus,2026-08-25T20:02:21.000250+00:00,1
9ce4656f81843e93,MyJobMag,9ce4656f81843e93,Associate Full Stack Developer at Nathan Digital,Nathan Digital,,Nairobi,Kenya,,0,,ICT / Computer,,"Full Time , Onsite",3 years,BA/BSc/HND,"Range KSh 100,000 - KSh 150,000/month",KES,,,Software & IT,https://www.myjobmag.co.ke/job/associate-full-stack-developer-nathan-digital,2026-08-25T20:02:49.471602+00:00,1
051619d06506cef0,MyJobMag,051619d06506cef0,Associate Professor Cyber Security at University of Embu,University of Embu,,Embu,Kenya,,0,,"Education / Teaching / Training , ICT / Computer",,Full Time,8 years,PhD/Fellowship,,,,,Cybersecurity,https://www.myjobmag.co.ke/job/associate-professor-cyber-security-university-of-embu-4,2026-08-25T20:03:06.260409+00:00,1
